Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
7th SEPTEMBER, 2022,Arusha,Arusha,98000,100000,200000,250000,75000,80000,75000,80000,120000,125000,148000,150000,150000,250000,75000,80000
7th SEPTEMBER, 2022,Dar es Salaam,Tandika,96000,120000,200000,270000,100000,120000,110000,120000,180000,170000,NA,NA,235000,300000,100000,102000
7th SEPTEMBER, 2022,Dodoma,Majengo,85000,94000,225000,260000,59000,78500,84000,86500,125000,135000,180000,182400,230000,280000,68500,90000
7th SEPTEMBER, 2022,Kagera,Bukoba,107000,110000,210000,280000,160000,170000,160000,170000,190000,180000,200000,220000,200000,250000,80000,90000
7th SEPTEMBER, 2022,Katavi,Mpanda,87000,96000,175000,190000,NA,NA,NA,NA,NA,NA,NA,NA,200000,220000,65000,65000
7th SEPTEMBER, 2022,Lindi,Lindi,85000,140000,200000,260000,120000,200000,NA,NA,NA,NA,NA,NA,220000,240000,95000,110000
7th SEPTEMBER, 2022,Manyara,Babati,99000,108000,260000,300000,90000,110000,90000,110000,130000,120000,210000,230000,210000,240000,110000,120000
7th SEPTEMBER, 2022,Mbeya,Mbeya,78000,80000,220000,240000,168000,168000,NA,NA,NA,NA,160000,16000,210000,280000,44000,48000
7th SEPTEMBER, 2022,Mtwara,Mtwara,85000,85000,200000,230000,100000,100000,NA,NA,180000,180000,NA,NA,200000,240000,70000,75000
7th SEPTEMBER, 2022,Mwanza,Mwanza,110000,115000,220000,270000,150000,180000,150000,150000,180000,200000,NA,NA,250000,270000,85000,90000
7th SEPTEMBER, 2022,Njombe,Njombe,72000,83000,220000,250000,NA,NA,NA,NA,200000,220000,180000,200000,150000,200000,50000,60000
7th SEPTEMBER, 2022,Rukwa,Sumbawanga,70000,75000,160000,180000,NA,NA,NA,NA,180000,160000,160000,170000,180000,200000,60000,75000
7th SEPTEMBER, 2022,Ruvuma,Songea,70000,72000,180000,240000,NA,NA,NA,NA,100000,100000,NA,NA,200000,220000,78000,80000
7th SEPTEMBER, 2022,Tabora,Tabora,82000,83000,190000,220000,140000,150000,NA,NA,190000,180000,NA,NA,220000,230000,80000,90000
7th SEPTEMBER, 2022,Tanga,Tanga,110000,130000,220000,240000,110000,110000,198000,198000,199000,190000,190000,200000,220000,250000,75000,750000
