Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-09-28,Arusha,Arusha,95000,98000,230000,280000,75000,80000,75000,85000,125000,120000,130000,150000,220000,280000,75000,80000
2022-09-28,"Dar es Salaam",Tandika,98000,120000,240000,330000,100000,120000,110000,120000,180000,170000,200000,220000,280000,320000,68000,70000
2022-09-28,Dodoma,Kabaigwa,95000,95000,NA,NA,72000,77500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-28,Dodoma,Majengo,92000,98000,250000,310000,59000,76000,70000,80000,120000,130000,180000,182400,250000,298000,69500,90000
2022-09-28,Iringa,Iringa,80000,80000,170000,250000,100000,100000,150000,150000,150000,150000,180000,200000,180000,250000,70000,70000
2022-09-28,Kagera,Bukoba,120000,125000,250000,350000,160000,180000,180000,190000,180000,190000,200000,210000,250000,300000,80000,90000
2022-09-28,Katavi,Mpanda,95000,98000,230000,240000,NA,NA,NA,NA,NA,NA,NA,NA,235000,250000,65000,65000
2022-09-28,Lindi,Lindi,100000,140000,235000,310000,100000,200000,NA,NA,NA,NA,300000,400000,260000,280000,120000,120000
2022-09-28,Manyara,Babati,100000,114000,270000,300000,90000,110000,90000,110000,130000,120000,210000,230000,240000,250000,115000,115000
2022-09-28,Mbeya,Mbeya,90000,90000,240000,240000,170000,170000,NA,NA,NA,NA,160000,160000,210000,228000,48000,48000
2022-09-28,Mtwara,Mtwara,88000,88000,230000,240000,100000,100000,NA,NA,180000,180000,NA,NA,250000,270000,70000,75000
2022-09-28,Mwanza,Mwanza,115000,122000,250000,300000,160000,200000,150000,200000,180000,200000,NA,NA,280000,360000,95000,100000
2022-09-28,Njombe,Mkoa,83000,90000,220000,250000,NA,NA,NA,NA,200000,220000,200000,220000,180000,200000,60000,70000
2022-09-28,Rukwa,Sumbawanga,80000,90000,180000,200000,NA,NA,NA,NA,230000,240000,190000,195000,210000,300000,70000,70000
2022-09-28,Ruvuma,Songea,70000,80000,200000,280000,NA,NA,NA,NA,100000,100000,NA,NA,200000,220000,90000,95000
2022-09-28,Tabora,Tabora,92000,96000,240000,260000,140000,150000,NA,NA,180000,190000,NA,NA,290000,300000,80000,90000
2022-09-28,Tanga,Tanga,110500,112500,240500,260500,110000,110000,199000,199000,202500,202500,199000,200000,220000,250000,77000,80000
