Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
13 JUNI, 2022,Arusha,Arusha,90000,92000,200000,250000,65000,70000,68000,70000,140000,145000,140000,150000,160000,200000,85000,80000
13 JUNI, 2022,Dar es salaam,Kinondoni,89000,120000,195000,240000,110000,110000,90000,95000,150000,150000,220000,220000,180000,240000,85000,80000
13 JUNI, 2022,Dar es salaam,Temeke,85000,85000,190000,190000,140000,140000,NA,NA,230000,230000,NA,NA,220000,220000,NA,NA
13 JUNI, 2022,Dodoma,Kibaigwa,77000,80000,200000,220000,55000,60000,NA,NA,NA,NA,NA,NA,180000,200000,NA,NA
13 JUNI, 2022,Dodoma,Majengo,78500,84000,195000,230000,65000,80000,68000,82000,155000,145000,180000,182400,185000,225000,85000,65000
13 JUNI, 2022,Iringa,Iringa,60000,70000,170000,220000,150000,150000,NA,NA,180000,180000,200000,200000,170000,180000,70000,70000
13 JUNI, 2022,Kagera,Bukoba,85000,90000,170000,210000,120000,130000,130000,150000,170000,160000,200000,220000,100000,150000,80000,65000
13 JUNI, 2022,Katavi,Mpanda,65000,72000,170000,200000,180000,200000,NA,NA,180000,200000,NA,NA,165000,200000,60000,55000
13 JUNI, 2022,Mara,Musoma,85000,90000,150000,180000,80000,90000,NA,NA,NA,NA,NA,NA,180000,200000,120000,100000
13 JUNI, 2022,Manyara,Babati,78000,90000,200000,240000,100000,120000,80000,100000,160000,150000,220000,230000,192000,210000,90000,90000
13 JUNI, 2022,Morogoro,Morogoro,78125,82000,220000,230000,120000,120000,120000,130000,180000,180000,220000,220000,190000,190000,85000,80000
13 JUNI, 2022,Mtwara,Mtwara,67000,67000,200000,220000,95000,100000,NA,NA,180000,180000,NA,NA,200000,220000,100000,100000
13 JUNI, 2022,Rukwa,Sumbawanga,55000,65000,140000,180000,NA,NA,NA,NA,200000,200000,195000,200000,130000,160000,75000,70000
13 JUNI, 2022,Ruvuma,Songea,52000,55000,140000,200000,NA,NA,NA,NA,NA,NA,NA,NA,140000,180000,72000,75000
13 JUNI, 2022,Tabora,Tabora,69000,71000,190000,220000,140000,150000,NA,NA,180000,170000,NA,NA,200000,220000,90000,100000
13 JUNI, 2022,Tanga,Tanga,95000,96000,198000,200000,98500,100000,99000,100000,150500,160000,195000,200000,192000,200000,90000,91000
